Timestamp,Your Name,Project ID (see spreadsheet),Project's Team Name,Technical Complexity ,Usefulness,Originality,Design,Presentation,Any comments?,
3/31/2025 22:01:03,Judge 1,1A,Project 1,3,2,2,2.333333333,3,12,24
3/31/2025 22:02:04,Judge 2,1A,Project 1,3,3,2,1.666666667,3,13,26
3/31/2025 22:02:04,Judge 3,1A,Project 2,1,1,1,0,0,4,8
3/31/2025 22:02:07,Judge 2,2A,Project 2,3,3,3,2,2,14,28
3/31/2025 22:02:07,Judge 4,2A,Project 2,3,2,3,2.333333333,3,14,26
3/31/2025 22:02:07,Judge 5,2A,Project 2,3,3,2,3,3,14,28
3/31/2025 22:02:09,Judge 1,3A,Project 3,2,0,1,2,2,6,12
3/31/2025 22:02:09,Judge 3,3A,Project 3,2,1,0.5,0,0,5,10
3/31/2025 22:02:09,Judge 7,3A,Project 3,1,0,1,0,2,3,6
3/31/2025 22:02:09,Judge 4,4A,Project 4,2,1.666666667,1,2,0,8,16
3/31/2025 22:02:09,Judge 5,4A,Project 4,3,0.5,3,0,3,9,18
3/31/2025 22:02:09,Judge 6,4A,Project 4,2,1.166666667,2,1,2,8,16
3/31/2025 22:02:09,Judge 5,5A,Project 5,3,1.666666667,3,1,1,11,22
3/31/2025 22:02:09,Judge 6,5A,Project 5,3,1,2,3,3,11,22
3/31/2025 22:02:09,Judge 7,5A,Project 5,2,2,2,3,3,11,22
