Timestamp,Your Name,Project ID (see spreadsheet),Project's Team Name,Technical Complexity,Usefulness,Originality,Design,Presentation,Any comments?
03/31/2025 22:40:33,Judge 1,1A,Project 1,1.54,1.53,2.24,0.09,0.28,5.67
03/31/2025 22:18:02,Judge 18,1A,Project 1,1.44,1.47,1.88,2.22,1.23,8.24
03/31/2025 22:31:39,Judge 16,1A,Project 1,3.0,2.39,2.12,1.48,1.4,10.4
03/31/2025 22:43:32,Judge 2,1A,Project 1,2.95,1.25,1.22,2.95,3.0,11.37
03/31/2025 22:12:55,Judge 9,1A,Project 1,2.82,0.78,2.21,0.04,0.67,6.52
03/31/2025 22:12:43,Judge 3,2A,Project 2,2.2,0.49,2.72,1.16,1.49,8.05
03/31/2025 22:42:48,Judge 1,2A,Project 2,1.32,2.61,3.0,2.93,1.16,11.03
03/31/2025 22:36:22,Judge 6,2A,Project 2,1.69,1.83,3.0,1.75,1.23,9.51
03/31/2025 22:29:11,Judge 15,2A,Project 2,2.95,3.0,2.46,0.32,2.33,11.05
03/31/2025 22:44:50,Judge 19,2A,Project 2,1.92,2.36,3.0,1.96,3.0,12.24
03/31/2025 22:28:42,Judge 6,3A,Project 3,2.7,2.36,0.53,2.89,1.89,10.39
03/31/2025 22:27:23,Judge 2,3A,Project 3,1.04,3.0,2.18,1.69,2.67,10.58
03/31/2025 22:54:56,Judge 17,3A,Project 3,2.85,0.69,1.13,1.49,0.69,6.85
03/31/2025 22:49:59,Judge 7,4A,Project 4,3.0,2.1,1.57,1.34,2.0,10.01
03/31/2025 22:29:19,Judge 5,4A,Project 4,1.81,2.3,1.97,0.83,3.0,9.91
03/31/2025 22:02:02,Judge 14,4A,Project 4,2.75,2.73,1.38,2.36,1.98,11.19
03/31/2025 22:08:08,Judge 17,5A,Project 5,1.08,3.0,1.22,1.68,2.81,9.79
03/31/2025 22:39:53,Judge 8,5A,Project 5,0.77,2.01,2.38,2.06,2.5,9.72
03/31/2025 22:19:43,Judge 13,5A,Project 5,0.56,3.0,3.0,1.13,2.62,10.31
03/31/2025 22:09:46,Judge 5,5A,Project 5,3.0,2.85,3.0,2.57,1.84,13.26
03/31/2025 22:07:39,Judge 7,6A,Project 6,3.0,2.15,2.54,0.5,1.99,10.18
03/31/2025 22:29:59,Judge 17,6A,Project 6,2.41,3.0,2.54,3.0,2.09,13.05
03/31/2025 22:15:59,Judge 8,6A,Project 6,1.63,2.5,3.0,1.97,1.99,11.09
03/31/2025 22:29:18,Judge 18,7A,Project 7,2.19,0.85,3.0,1.14,0.97,8.16
03/31/2025 22:13:04,Judge 20,7A,Project 7,2.45,3.0,1.33,0.31,2.66,9.75
03/31/2025 22:47:55,Judge 2,7A,Project 7,0.56,2.52,3.0,2.57,3.0,11.65
03/31/2025 22:42:39,Judge 10,7A,Project 7,1.44,1.87,0.44,3.0,0.8,7.56
03/31/2025 22:48:34,Judge 3,8A,Project 8,3.0,3.0,2.83,2.02,2.44,13.29
03/31/2025 22:28:13,Judge 14,8A,Project 8,1.89,1.51,3.0,1.57,1.27,9.24
03/31/2025 22:30:53,Judge 2,8A,Project 8,1.42,2.5,2.87,0.8,1.67,9.26
03/31/2025 22:08:32,Judge 20,8A,Project 8,0.45,1.66,2.18,2.58,3.0,9.87
03/31/2025 22:29:17,Judge 8,9A,Project 9,2.23,1.58,2.14,2.0,2.76,10.7
03/31/2025 22:16:55,Judge 18,9A,Project 9,1.02,2.46,2.2,1.4,2.07,9.15
03/31/2025 22:59:06,Judge 11,9A,Project 9,1.61,2.61,3.0,0.97,2.2,10.39
03/31/2025 22:50:17,Judge 7,10A,Project 10,1.38,1.64,2.95,3.0,2.36,11.34
03/31/2025 22:55:48,Judge 18,10A,Project 10,2.58,2.05,2.49,3.0,0.13,10.25
03/31/2025 22:46:26,Judge 6,10A,Project 10,1.98,2.12,3.0,1.41,2.55,11.05
03/31/2025 22:04:24,Judge 10,11A,Project 11,1.8,2.32,1.87,2.1,2.6,10.68
03/31/2025 22:23:10,Judge 2,11A,Project 11,3.0,3.0,1.66,2.25,2.32,12.23
03/31/2025 22:45:05,Judge 11,11A,Project 11,3.0,2.09,2.08,1.74,3.0,11.91
03/31/2025 22:58:06,Judge 10,12A,Project 12,0.0,1.65,0.98,2.83,1.28,6.74
03/31/2025 22:02:52,Judge 16,12A,Project 12,0.12,1.98,1.71,2.32,1.17,7.31
03/31/2025 22:51:12,Judge 19,12A,Project 12,0.9,2.76,1.45,0.0,2.06,7.17
03/31/2025 22:19:00,Judge 20,12A,Project 12,1.16,2.07,2.98,2.47,2.05,10.74
03/31/2025 22:57:59,Judge 8,13A,Project 13,0.55,2.78,1.84,0.64,3.0,8.82
03/31/2025 22:46:19,Judge 19,13A,Project 13,0.19,0.67,1.23,1.51,1.95,5.55
03/31/2025 22:20:24,Judge 13,13A,Project 13,2.95,1.42,1.1,2.49,0.68,8.65
03/31/2025 22:47:51,Judge 11,13A,Project 13,3.0,2.14,3.0,1.69,0.83,10.66
03/31/2025 22:07:55,Judge 4,14A,Project 14,2.01,2.05,1.55,2.62,0.93,9.16
03/31/2025 22:00:50,Judge 8,14A,Project 14,1.86,1.13,1.33,2.34,2.49,9.14
03/31/2025 22:34:41,Judge 12,14A,Project 14,1.17,1.7,2.24,3.0,2.11,10.23
03/31/2025 22:04:27,Judge 19,14A,Project 14,3.0,1.44,3.0,3.0,1.61,12.05
03/31/2025 22:22:38,Judge 9,15A,Project 15,3.0,0.62,0.3,1.94,2.38,8.25
03/31/2025 22:35:00,Judge 13,15A,Project 15,1.97,0.85,1.4,0.18,2.91,7.31
03/31/2025 22:35:58,Judge 5,15A,Project 15,0.9,2.49,2.75,1.71,3.0,10.84
03/31/2025 22:32:49,Judge 8,15A,Project 15,1.68,0.63,2.5,1.5,3.0,9.32
03/31/2025 22:17:29,Judge 13,16A,Project 16,2.18,2.04,2.8,2.07,2.77,11.85
03/31/2025 22:35:25,Judge 4,16A,Project 16,1.22,3.0,1.75,2.58,2.31,10.86
03/31/2025 22:46:37,Judge 8,16A,Project 16,1.64,2.9,1.13,1.77,1.23,8.67
03/31/2025 22:17:42,Judge 18,16A,Project 16,2.58,0.94,1.35,1.23,1.65,7.74
03/31/2025 22:45:39,Judge 12,17A,Project 17,2.93,3.0,0.6,2.56,1.35,10.44
03/31/2025 22:48:10,Judge 5,17A,Project 17,1.51,2.17,2.91,1.99,2.45,11.04
